codigo_submodalidade_v2,modalidade_v2,submodalidade_v2,cliente,origem,modalidade_v1,modalidade_v1_alternativa,modalidade_v1_inferida,regra,ambiguidade
0406,Financiamentos,Cartão de crédito - compra ou fatura parcelada pela instituição financeira emitente do cartão,PF,Com destinação específica,PF - Cartão de crédito,,,base,
0406,Financiamentos,Cartão de crédito - compra ou fatura parcelada pela instituição financeira emitente do cartão,PJ,Sem destinação específica,PJ - Outros créditos,,,base,
0406,Financiamentos,Cartão de crédito - compra ou fatura parcelada pela instituição financeira emitente do cartão,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0440,Financiamentos,Financiamentos agroindustriais,PF,Sem destinação específica,PF - Outros créditos,,,base,
0440,Financiamentos,Financiamentos agroindustriais,PF,Com destinação específica,PF - Outros créditos,,,base,
0440,Financiamentos,Financiamentos agroindustriais,PJ,Sem destinação específica,PJ - Investimento,,,base,
0440,Financiamentos,Financiamentos agroindustriais,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0450,Financiamentos,Recebíveis adquiridos,PF,Sem destinação específica,PF - Outros créditos,,,base,
0450,Financiamentos,Recebíveis adquiridos,PF,Com destinação específica,PF - Outros créditos,,,base,
0450,Financiamentos,Recebíveis adquiridos,PJ,Sem destinação específica,PJ - Operações com recebíveis,,,base,
0450,Financiamentos,Recebíveis adquiridos,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0490,Financiamentos,Financiamento de projeto,PF,Sem destinação específica,PF - Outros créditos,,,base,
0490,Financiamentos,Financiamento de projeto,PF,Com destinação específica,PF - Outros créditos,,,base,
0490,Financiamentos,Financiamento de projeto,PJ,Sem destinação específica,PJ - Investimento,,,base,
0490,Financiamentos,Financiamento de projeto,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0499,Financiamentos,Outros financiamentos,PF,Sem destinação específica,PF - Outros créditos,,,base,
0499,Financiamentos,Outros financiamentos,PF,Com destinação específica,PF - Outros créditos,,,base,
0499,Financiamentos,Outros financiamentos,PJ,Sem destinação específica,PJ - Investimento,,,base,
0499,Financiamentos,Outros financiamentos,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0501,Financiamentos à exportação,Financiamento à exportação,PF,Sem destinação específica,PF - Outros créditos,,,base,
0501,Financiamentos à exportação,Financiamento à exportação,PF,Com destinação específica,PF - Outros créditos,,,base,
0501,Financiamentos à exportação,Financiamento à exportação,PJ,Sem destinação específica,PJ - Comércio exterior,,,base,
0501,Financiamentos à exportação,Financiamento à exportação,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0502,Financiamentos à exportação,Adiantamento sobre contratos de câmbio,PF,Sem destinação específica,PF - Outros créditos,,,base,
0502,Financiamentos à exportação,Adiantamento sobre contratos de câmbio,PF,Com destinação específica,PF - Outros créditos,,,base,
0502,Financiamentos à exportação,Adiantamento sobre contratos de câmbio,PJ,Sem destinação específica,PJ - Comércio exterior,,,base,
