codigo_submodalidade,codigo_modalidade,modalidade,submodalidade,nome_oficial_modalidade,nome_oficial_submodalidade,definicao,confianca,fonte
1201,12,Operações de arrendamento,Arrendamento financeiro exceto veículos automotores e imóveis,Operações de arrendamento,arrendamento financeiro exceto veículos automotores e imóveis,"operações de arrendamento mercantil (leasing) financeiro, em que o arrendador concede ao arrendatário a utilização de bem, exceto veículo automotor e bem imóvel, objeto do contrato de arrendamento, com opção de compra ao final do contrato.",verbatim,"Instruções 3040, p. 34"
1202,12,Operações de arrendamento,Arrendamento financeiro imobiliário,Operações de arrendamento,arrendamento financeiro imobiliário,"operações de arrendamento mercantil (leasing) financeiro, em que o arrendador concede ao arrendatário a utilização de bem imóvel, objeto do contrato de arrendamento, com opção de compra ao final do contrato",verbatim,"Instruções 3040, p. 34"
1205,12,Operações de arrendamento,Arrendamento operacional,Operações de arrendamento,arrendamento operacional,operações de arrendamento mercantil operacional,verbatim,"Instruções 3040, p. 34"
1206,12,Operações de arrendamento,Arrendamento financeiro de veículos automotores,Operações de arrendamento,arrendamento financeiro de veículos automotores,"operações de arrendamento mercantil (leasing) financeiro, em que o arrendador concede ao arrendatário a utilização de veículo automotor, objeto do contrato de arrendamento, com opção de compra ao final do contrato.",verbatim,"Instruções 3040, p. 34"
1301,13,Outros créditos,Avais e fianças honrados,Outros créditos,avais e fianças honrados,"créditos honrados decorrentes de avais, fianças e outras coobrigações, registrados na rubrica 1.8.1.00.00-2 do Cosif (1.8.1.10.10.10-9 a partir de jan/25)",verbatim,"Instruções 3040, p. 35"
1302,13,Outros créditos,Devedores por compra de valores e bens,Outros créditos,devedores por compra de valores e bens,"débitos de terceiros, resultantes da alienação, a prazo, de valores e bens, registrados na rubrica 1.8.8.35.00-9 (1.8.1.40.10.10-6 a partir de jan/25)",verbatim,"Instruções 3040, p. 35"
1303,13,Outros créditos,Títulos e créditos a receber,Outros créditos,títulos e créditos a receber,"valores a receber representados por títulos de crédito, notas promissórias ou contratos, que não se caracterizem como operações de crédito ou avais e fianças honrados, porém possuam características de concessão de crédito, registrados na rubrica 1.8.8.80.10-2 (1.8.1.30.10.10-7 a partir de jan/25)",verbatim,"Instruções 3040, p. 35"
1304,13,Outros créditos,Cartão de crédito - compra à vista e parcelado lojista,Outros créditos,cartão de crédito - compra à vista e parcelado lojista,"valores a receber representados por compras efetuadas com cartões de crédito, tanto à vista como parceladas pelo lojista no ato da compra, sem incidência de encargos financeiros.",verbatim,"Instruções 3040, p. 35"
1350,13,Outros créditos,Recebíveis adquiridos,Outros créditos,recebíveis adquiridos,"compra de direitos creditórios devidamente especificados, onde não haja coobrigação por parte do cedente. O cliente informado será o sacado da operação original",verbatim,"Instruções 3040, p. 35"
1399,13,Outros créditos,Outros com característica de crédito,Outros créditos,outros com característica de crédito,deve ser utilizada apenas quando inexistir submodalidade adequada para os valores a receber sob registro.,verbatim,"Instruções 3040, p. 36"
